[2022-08-16T08:40:56.508] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-16T08:45:41.079] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-16T08:49:58.270] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-16T08:50:11.162] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-16T08:52:01.183] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-16T09:13:05.971] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-16T09:21:08.001] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-16T09:21:10.881] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-16T09:41:38.506] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-16T09:41:38.679] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-16T09:41:38.860] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-16T09:41:39.128] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-16T09:41:39.268] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-16T09:45:43.670] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-16T09:46:38.870] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-16T09:46:45.650] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-16T09:46:46.495] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-16T09:49:50.960] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-16T09:49:51.149] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-16T09:49:51.431] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-16T09:49:51.664] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-16T09:50:09.029] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-16T09:50:09.225] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-16T09:50:09.379] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-16T09:54:25.967] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-16T09:54:26.217] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-16T09:54:26.449] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-16T09:55:25.194] [WARN] warnArchive - Estado: 404, Ruta consultada: /carousel.css, Metodo GET
[2022-08-16T09:56:40.426] [WARN] warnArchive - Estado: 404, Ruta consultada: /carousel.css, Metodo GET
[2022-08-16T10:04:23.041] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-16T10:38:31.965] [WARN] warnArchive - Estado: 404, Ruta consultada: /carousel.css, Metodo GET
[2022-08-16T10:38:50.448] [WARN] warnArchive - Estado: 404, Ruta consultada: /carousel.css, Metodo GET
[2022-08-16T10:39:07.066] [WARN] warnArchive - Estado: 404, Ruta consultada: /carousel.css, Metodo GET
[2022-08-16T10:39:36.617] [WARN] warnArchive - Estado: 404, Ruta consultada: /carousel.css, Metodo GET
[2022-08-16T10:39:56.971] [WARN] warnArchive - Estado: 404, Ruta consultada: /carousel.css, Metodo GET
[2022-08-16T10:41:03.190] [WARN] warnArchive - Estado: 404, Ruta consultada: /carousel.css, Metodo GET
[2022-08-16T10:42:58.972] [WARN] warnArchive - Estado: 404, Ruta consultada: /carousel.css, Metodo GET
